ID,Bureaux,"Region, Pays",City delimitor position,Region delimitor pos,Region,Country,Address
61,"Thales near  Orsay,  Région Parisienne,  France","Orsay,  Région Parisienne,  France",6,26,"Orsay,  Région Parisienne",France,
460,"Thales near  Palaiseau,  Région Parisienne,  France","Palaiseau,  Région Parisienne,  France",10,30,"Palaiseau,  Région Parisienne",France,
62,"Thales near  Paris,  Région Parisienne,  France","Paris,  Région Parisienne,  France",6,26,"Paris,  Région Parisienne",France,
71,"Thales near  Pessac,  Sud Ouest,  France","Pessac,  Sud Ouest,  France",7,19,"Pessac,  Sud Ouest",France,
63,"Thales near  Plaisir,  Région Parisienne,  France","Plaisir,  Région Parisienne,  France",8,28,"Plaisir,  Région Parisienne",France,
64,"Thales near  Puteaux,  Région Parisienne,  France","Puteaux,  Région Parisienne,  France",8,28,"Puteaux,  Région Parisienne",France,
65,"Thales near  Rambouillet,  Région Parisienne,  France","Rambouillet,  Région Parisienne,  France",12,32,"Rambouillet,  Région Parisienne",France,
34,"Thales near  Rennes,  Bretagne,  France","Rennes,  Bretagne,  France",7,18,"Rennes,  Bretagne",France,
39,"Thales near  Rouen,  France Nord,  France","Rouen,  France Nord,  France",6,20,"Rouen,  France Nord",France,
66,"Thales near  Rungis,  Région Parisienne,  France","Rungis,  Région Parisienne,  France",7,27,"Rungis,  Région Parisienne",France,
83,"Thales near  Saint Héand,  Rhône-Alpes,  France","Saint Héand,  Rhône-Alpes,  France",12,26,"Saint Héand,  Rhône-Alpes",France,
79,"Thales near  Sophia Antipolis,  PACA,  France","Sophia Antipolis,  PACA,  France",17,24,"Sophia Antipolis,  PACA",France,
76,"Thales near  Thonon,  Rhône-Alpes,  France","Thonon,  Rhône-Alpes,  France",7,21,"Thonon,  Rhône-Alpes",France,
80,"Thales near  Toulon,  PACA,  France","Toulon,  PACA,  France",7,14,"Toulon,  PACA",France,
72,"Thales near  Toulouse,  Sud Ouest,  France","Toulouse,  Sud Ouest,  France",9,21,"Toulouse,  Sud Ouest",France,
77,"Thales near  Valence,  Rhône-Alpes,  France","Valence,  Rhône-Alpes,  France",8,22,"Valence,  Rhône-Alpes",France,
67,"Thales near  Vélizy,  Région Parisienne,  France","Vélizy,  Région Parisienne,  France",7,27,"Vélizy,  Région Parisienne",France,
38,"Thales near  Vendôme,  Centre,  France","Vendôme,  Centre,  France",8,17,"Vendôme,  Centre",France,
604,"Thales near  Nieuw Muckleneuk, Pretoria,  Gauteng,  South Africa","Nieuw Muckleneuk, Pretoria,  Gauteng,  South Africa",17,27,"Nieuw Muckleneuk, Pretoria","Gauteng, South Africa",
399,"Thales near  Arnstadt,  Thüringen,  Germany","Arnstadt,  Thüringen,  Germany",9,21,"Arnstadt,  Thüringen",Germany,
122,"Thales near  Bad Hersfeld,  Hessen,  Germany","Bad Hersfeld,  Hessen,  Germany",13,22,"Bad Hersfeld,  Hessen",Germany,
400,"Thales near  Berlin,  Berlin-Brandenburg,  Germany","Berlin,  Berlin-Brandenburg,  Germany",7,28,"Berlin,  Berlin-Brandenburg",Germany,
497,"Thales near  Berlin,  Berlin,  Germany","Berlin,  Berlin,  Germany",7,16,"Berlin,  Berlin",Germany,
394,"Thales near  Hamburg,  Hamburg,  Germany","Hamburg,  Hamburg,  Germany",8,18,"Hamburg,  Hamburg",Germany,
496,"Thales near  Ismaning,  Bayern,  Germany","Ismaning,  Bayern,  Germany",9,18,"Ismaning,  Bayern",Germany,
392,"Thales near  Kiel,  Schleswig-Holstein,  Germany","Kiel,  Schleswig-Holstein,  Germany",5,26,"Kiel,  Schleswig-Holstein",Germany,
495,"Thales near  Koblenz,  Rheinland-Pfalz,  Germany","Koblenz,  Rheinland-Pfalz,  Germany",8,26,"Koblenz,  Rheinland-Pfalz",Germany,
415,"Thales near  Korntal-Münchingen,  Baden-Württemberg,  Germany","Korntal-Münchingen,  Baden-Württemberg,  Germany",19,39,"Korntal-Münchingen,  Baden-Württemberg",Germany,
121,"Thales near  Langen,  Hessen,  Germany","Langen,  Hessen,  Germany",7,16,"Langen,  Hessen",Germany,
403,"Thales near  Leipzig,  Sachsen,  Germany","Leipzig,  Sachsen,  Germany",8,18,"Leipzig,  Sachsen",Germany,
401,"Thales near  München,  Ismaning,  Germany","München,  Ismaning,  Germany",8,19,"München,  Ismaning",Germany,
404,"Thales near  Nürnberg,  Bayern,  Germany","Nürnberg,  Bayern,  Germany",9,18,"Nürnberg,  Bayern",Germany,
234,"Thales near  Pforzheim,  Baden-Württemberg,  Germany","Pforzheim,  Baden-Württemberg,  Germany",10,30,"Pforzheim,  Baden-Württemberg",Germany,
405,"Thales near  Rostock,  Mecklenburg-Vorpommern,  Germany","Rostock,  Mecklenburg-Vorpommern,  Germany",8,33,"Rostock,  Mecklenburg-Vorpommern",Germany,
396,"Thales near  Siegburg,  Nordrhein-Westfalen,  Germany","Siegburg,  Nordrhein-Westfalen,  Germany",9,31,"Siegburg,  Nordrhein-Westfalen",Germany,
