name,description,timestamp,begin,_end,altitudemode,tessellate,extrude,visibility,draworder,icon,id,bureaux,the_geom,cartodb_id,created_at,updated_at,cartodb_georef_status
,"<div class=""googft-info-window"">
<b>ID:</b> 571<br>
<b>Bureaux:</b> Thales near  Oakey,  Queensland,  Australia
</div>",,,,,,,-1,,,571,"Thales near  Oakey,  Queensland,  Australia",,192,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 597<br>
<b>Bureaux:</b> Thales near  Oran,  Oran,  Algeria
</div>",,,,,,,-1,,,597,"Thales near  Oran,  Oran,  Algeria",,193,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 226<br>
<b>Bureaux:</b> Thales near  Oslo,  Ostlandet,  Norway
</div>",,,,,,,-1,,,226,"Thales near  Oslo,  Ostlandet,  Norway",,196,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 672<br>
<b>Bureaux:</b> Thales near  Paco de Arços,  Greater Lisbon,  Portugal
</div>",,,,,,,-1,,,672,"Thales near  Paco de Arços,  Greater Lisbon,  Portugal",,200,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 460<br>
<b>Bureaux:</b> Thales near  Palaiseau,  Région Parisienne,  France
</div>",,,,,,,-1,,,460,"Thales near  Palaiseau,  Région Parisienne,  France",,201,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 71<br>
<b>Bureaux:</b> Thales near  Pessac,  Sud Ouest,  France
</div>",,,,,,,-1,,,71,"Thales near  Pessac,  Sud Ouest,  France",,205,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 483<br>
<b>Bureaux:</b> Thales near  PoznaD,  PoznaD,  Poland
</div>",,,,,,,-1,,,483,"Thales near  PoznaD,  PoznaD,  Poland",,211,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 114<br>
<b>Bureaux:</b> Thales near  Reading,  Thames Valley,  United Kingdom
</div>",,,,,,,-1,,,114,"Thales near  Reading,  Thames Valley,  United Kingdom",,222,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 87<br>
<b>Bureaux:</b> Thales near  Rugby,  East Midlands,  United Kingdom
</div>",,,,,,,-1,,,87,"Thales near  Rugby,  East Midlands,  United Kingdom",,230,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
,"<div class=""googft-info-window"">
<b>ID:</b> 66<br>
<b>Bureaux:</b> Thales near  Rungis,  Région Parisienne,  France
</div>",,,,,,,-1,,,66,"Thales near  Rungis,  Région Parisienne,  France",,231,2013-11-07 10:54:44.207973+00,2013-11-07 10:54:44.532715+00,false
